Date_ID,Date,Day,ISO_Week,Month,Quarter,Year,Day_of_Week,Is_US_Holiday
368,2019-01-03,3,1,1,q1,2019,thursday,False
369,2019-01-04,4,1,1,q1,2019,friday,False
370,2019-01-05,5,1,1,q1,2019,saturday,False
371,2019-01-06,6,1,1,q1,2019,sunday,False
372,2019-01-07,7,2,1,q1,2019,monday,False
373,2019-01-08,8,2,1,q1,2019,tuesday,False
374,2019-01-09,9,2,1,q1,2019,wednesday,False
375,2019-01-10,10,2,1,q1,2019,thursday,False
376,2019-01-11,11,2,1,q1,2019,friday,False
377,2019-01-12,12,2,1,q1,2019,saturday,False
378,2019-01-13,13,2,1,q1,2019,sunday,False
379,2019-01-14,14,3,1,q1,2019,monday,False
380,2019-01-15,15,3,1,q1,2019,tuesday,False
381,2019-01-16,16,3,1,q1,2019,wednesday,False
382,2019-01-17,17,3,1,q1,2019,thursday,False
383,2019-01-18,18,3,1,q1,2019,friday,False
384,2019-01-19,19,3,1,q1,2019,saturday,False
385,2019-01-20,20,3,1,q1,2019,sunday,False
386,2019-01-21,21,4,1,q1,2019,monday,True
387,2019-01-22,22,4,1,q1,2019,tuesday,False
388,2019-01-23,23,4,1,q1,2019,wednesday,False
389,2019-01-24,24,4,1,q1,2019,thursday,False
390,2019-01-25,25,4,1,q1,2019,friday,False
391,2019-01-26,26,4,1,q1,2019,saturday,False
392,2019-01-27,27,4,1,q1,2019,sunday,False
393,2019-01-28,28,5,1,q1,2019,monday,False
394,2019-01-29,29,5,1,q1,2019,tuesday,False
395,2019-01-30,30,5,1,q1,2019,wednesday,False
396,2019-01-31,31,5,1,q1,2019,thursday,False
397,2019-02-01,1,5,2,q1,2019,friday,False
398,2019-02-02,2,5,2,q1,2019,saturday,False
399,2019-02-03,3,5,2,q1,2019,sunday,False
400,2019-02-04,4,6,2,q1,2019,monday,False
401,2019-02-05,5,6,2,q1,2019,tuesday,False
402,2019-02-06,6,6,2,q1,2019,wednesday,False
403,2019-02-07,7,6,2,q1,2019,thursday,False
404,2019-02-08,8,6,2,q1,2019,friday,False
405,2019-02-09,9,6,2,q1,2019,saturday,False
406,2019-02-10,10,6,2,q1,2019,sunday,False
407,2019-02-11,11,7,2,q1,2019,monday,False
408,2019-02-12,12,7,2,q1,2019,tuesday,False
409,2019-02-13,13,7,2,q1,2019,wednesday,False
410,2019-02-14,14,7,2,q1,2019,thursday,False
411,2019-02-15,15,7,2,q1,2019,friday,False
412,2019-02-16,16,7,2,q1,2019,saturday,False
413,2019-02-17,17,7,2,q1,2019,sunday,False
414,2019-02-18,18,8,2,q1,2019,monday,True
415,2019-02-19,19,8,2,q1,2019,tuesday,False
416,2019-02-20,20,8,2,q1,2019,wednesday,False
417,2019-02-21,21,8,2,q1,2019,thursday,False
418,2019-02-22,22,8,2,q1,2019,friday,False
419,2019-02-23,23,8,2,q1,2019,saturday,False
420,2019-02-24,24,8,2,q1,2019,sunday,False
421,2019-02-25,25,9,2,q1,2019,monday,False
422,2019-02-26,26,9,2,q1,2019,tuesday,False
423,2019-02-27,27,9,2,q1,2019,wednesday,False
424,2019-02-28,28,9,2,q1,2019,thursday,False
425,2019-03-01,1,9,3,q1,2019,friday,False
426,2019-03-02,2,9,3,q1,2019,saturday,False
427,2019-03-03,3,9,3,q1,2019,sunday,False
428,2019-03-04,4,10,3,q1,2019,monday,False
